"region";"ålder";"2020"
"01 Stockholms län";"18-19 år";50876
"01 Stockholms län";"20-24 år";124781
"01 Stockholms län";"25-29 år";179798
"01 Stockholms län";"30-34 år";196178
"01 Stockholms län";"35-39 år";177114
"01 Stockholms län";"40-44 år";166226
"01 Stockholms län";"45-49 år";168409
"01 Stockholms län";"50-54 år";156337
"01 Stockholms län";"55-59 år";146157
"01 Stockholms län";"60-64 år";119371
"01 Stockholms län";"65-69 år";102269
"01 Stockholms län";"70-74 år";101257
"01 Stockholms län";"75-79 år";86046
"01 Stockholms län";"80-84 år";49140
"01 Stockholms län";"85-89 år";27365
"01 Stockholms län";"90-94 år";13166
"01 Stockholms län";"95-99 år";4036
"01 Stockholms län";"100+ år";553
"03 Uppsala län";"18-19 år";8669
"03 Uppsala län";"20-24 år";27736
"03 Uppsala län";"25-29 år";31178
"03 Uppsala län";"30-34 år";28777
"03 Uppsala län";"35-39 år";24661
"03 Uppsala län";"40-44 år";22978
"03 Uppsala län";"45-49 år";24222
"03 Uppsala län";"50-54 år";23315
"03 Uppsala län";"55-59 år";22418
"03 Uppsala län";"60-64 år";19977
"03 Uppsala län";"65-69 år";18828
"03 Uppsala län";"70-74 år";19802
"03 Uppsala län";"75-79 år";15924
"03 Uppsala län";"80-84 år";9184
"03 Uppsala län";"85-89 år";5321
"03 Uppsala län";"90-94 år";2489
"03 Uppsala län";"95-99 år";762
"03 Uppsala län";"100+ år";80
"04 Södermanlands län";"18-19 år";6840
"04 Södermanlands län";"20-24 år";15034
"04 Södermanlands län";"25-29 år";17554
"04 Södermanlands län";"30-34 år";18609
"04 Södermanlands län";"35-39 år";17237
"04 Södermanlands län";"40-44 år";17001
"04 Södermanlands län";"45-49 år";18575
"04 Södermanlands län";"50-54 år";19360
"04 Södermanlands län";"55-59 år";18791
"04 Södermanlands län";"60-64 år";17320
"04 Södermanlands län";"65-69 år";16830
"04 Södermanlands län";"70-74 år";18317
"04 Södermanlands län";"75-79 år";15319
"04 Södermanlands län";"80-84 år";9126
"04 Södermanlands län";"85-89 år";5086
"04 Södermanlands län";"90-94 år";2374
"04 Södermanlands län";"95-99 år";632
"04 Södermanlands län";"100+ år";84
"05 Östergötlands län";"18-19 år";10365
"05 Östergötlands län";"20-24 år";30398
"05 Östergötlands län";"25-29 år";33569
"05 Östergötlands län";"30-34 år";31997
"05 Östergötlands län";"35-39 år";27609
"05 Östergötlands län";"40-44 år";27362
"05 Östergötlands län";"45-49 år";29091
"05 Östergötlands län";"50-54 år";29574
"05 Östergötlands län";"55-59 år";28314
"05 Östergötlands län";"60-64 år";25563
"05 Östergötlands län";"65-69 år";24268
"05 Östergötlands län";"70-74 år";25396
"05 Östergötlands län";"75-79 år";20990
"05 Östergötlands län";"80-84 år";13180
"05 Östergötlands län";"85-89 år";7711
"05 Östergötlands län";"90-94 år";3787
"05 Östergötlands län";"95-99 år";924
"05 Östergötlands län";"100+ år";103
"06 Jönköpings län";"18-19 år";8457
"06 Jönköpings län";"20-24 år";21023
"06 Jönköpings län";"25-29 år";24461
"06 Jönköpings län";"30-34 år";24152
"06 Jönköpings län";"35-39 år";21366
"06 Jönköpings län";"40-44 år";21050
"06 Jönköpings län";"45-49 år";22472
"06 Jönköpings län";"50-54 år";23627
"06 Jönköpings län";"55-59 år";22294
"06 Jönköpings län";"60-64 år";20040
"06 Jönköpings län";"65-69 år";19200
"06 Jönköpings län";"70-74 år";19656
"06 Jönköpings län";"75-79 år";16346
"06 Jönköpings län";"80-84 år";10554
"06 Jönköpings län";"85-89 år";6427
"06 Jönköpings län";"90-94 år";3111
"06 Jönköpings län";"95-99 år";848
"06 Jönköpings län";"100+ år";108
